L J MC_steps R2 R2_std E E_std E2 E2_std E4 E4_std Sin1 Sin1_std Cos1 Cos1_std Mag2 Mag2_std Mag4 Mag4_std
600 0.264 72000000 419 0 -148.193 0 21961.2 0 4.82295e+08 0 0.0266134 0 -0.0320636 0 0.00173634 0 3.01489e-06 0 
600 0.264 75600000 1884.09 460.511 -164.788 7.84124 27608.5 2680.48 8.15836e+08 1.61847e+08 -0.00825639 0.019887 -0.016312 0.0174901 0.00684908 0.00164716 7.48466e-05 2.96153e-05 
600 0.264 79200000 2086 299.045 -168.297 6.3922 28903.2 2204.5 9.02111e+08 1.34472e+08 -0.0058429 0.0125325 -0.0175785 0.0119024 0.00601596 0.00119637 6.72255e-05 2.1138e-05 
600 0.264 82800000 1986.8 225.81 -174.099 7.49306 31335.2 2806.25 1.13e+09 2.19897e+08 9.49674e-05 0.0102885 -0.00941425 0.0101819 0.00586996 0.000923377 6.13129e-05 1.53544e-05 
600 0.264 86400000 2017.5 218.193 -172.502 5.72038 30816.7 2093.02 1.0881e+09 1.63833e+08 -0.00624528 0.01078 -0.00301885 0.00839775 0.00615333 0.000837611 6.68508e-05 1.45658e-05 
600 0.264 90000000 2134.08 224.505 -170.206 5.08584 30013.1 1836.01 1.02998e+09 1.46475e+08 -0.00353704 0.00931728 -0.00586398 0.00786998 0.0059345 0.00071892 6.27828e-05 1.22915e-05 
600 0.264 93600000 2116 199.562 -167.872 4.66138 29280.9 1712.53 9.93846e+08 1.33415e+08 -0.00283565 0.00825832 -0.00822189 0.00674739 0.00538624 0.000628607 5.34505e-05 1.05691e-05 
600 0.264 97200000 2110.65 185.93 -167.335 4.19395 29017.2 1523.53 9.67591e+08 1.17096e+08 -0.0017244 0.00739473 -0.00934755 0.00604214 0.0050721 0.000556635 4.845e-05 9.24543e-06 
600 0.264 100800000 2000.17 172.332 -164.923 3.99712 28183.9 1433.45 9.13084e+08 1.06137e+08 -0.00184835 0.00600361 -0.00612589 0.0057559 0.00486688 0.000594563 4.38442e-05 1.04373e-05 
600 0.264 104400000 1919.34 161.179 -165.495 3.75065 28381 1379.25 9.25356e+08 1.05048e+08 -0.000823387 0.00554463 -0.00546462 0.00525911 0.00465265 0.000594563 4.05775e-05 1.13177e-05 
600 0.264 108000000 1875.62 159.113 -165.388 3.36979 28362.1 1207.04 9.24269e+08 8.91014e+07 0.00134304 0.00548953 -0.000634984 0.00597449 0.00495127 0.00052594 4.82349e-05 1.0569e-05 
600 0.264 111600000 1831.1 159.113 -164.918 3.15422 28180.6 1160.83 9.10621e+08 8.81339e+07 0.000301546 0.00516511 -0.000187622 0.00563804 0.00484913 0.000501421 4.60378e-05 9.98177e-06 
