L J MC_steps R2 R2_std E E_std E2 E2_std E4 E4_std Sin1 Sin1_std Cos1 Cos1_std Mag2 Mag2_std Mag4 Mag4_std Mag1 Mag1_std eig1 eig1_std eig2 eig2_std eig3 eig3_std R_g_2_trace R_g_2_trace_std R_g_2_direct R_g_2_direct_std asphericity asphericity_std
200 0.26 8000000 1875 0 -70.3054 0 4942.85 0 2.44317e+07 0 -0.159806 0 0.0444823 0 0.0275168 0 0.000757173 0 0.165882 0 4.35117 0 146.064 0 1729.31 0 1879.72 0 1879.72 0 0.778611 0 
200 0.26 8400000 1207 472.347 -59.941 7.3287 3700.35 878.58 1.52364e+07 6.5021e+06 -0.11708 0.0302121 0.0467597 0.00161036 0.0177249 0.00692387 0.000410054 0.000245451 0.127475 0.0271578 6.18701 1.29814 77.2181 48.6812 896.691 588.75 980.096 636.133 980.096 636.133 0.630393 0.104806 
200 0.26 8800000 840.333 434.5 -74.2843 12.6895 6001.23 1967.85 4.7632e+07 2.68038e+07 -0.139366 0.0271435 0.0270988 0.0160889 0.023144 0.00639406 0.000658296 0.000260497 0.146431 0.023819 5.5064 1.02849 54.0443 37.5671 605.772 458.78 665.323 495.889 665.323 495.889 0.507223 0.122458 
200 0.26 9200000 890.5 328.759 -69.1493 10.5049 5223.03 1622.48 3.78098e+07 2.18285e+07 -0.101555 0.0385569 0.0263431 0.0120844 0.0175382 0.00682394 0.000493852 0.000241768 0.116534 0.0314559 5.14851 0.831303 239.523 163.082 1095.74 546.303 1340.41 692.917 1340.41 692.917 0.494302 0.0925223 
200 0.26 9600000 761.4 287.239 -65.6525 8.96702 4712.29 1376.03 3.16729e+07 1.83051e+07 -0.0732509 0.0399044 0.00314384 0.0228916 0.0159575 0.00563924 0.000413648 0.000206289 0.112859 0.0253785 4.97275 0.683372 193.176 136.893 884.425 476.162 1082.57 600.392 1082.57 600.392 0.479839 0.0751397 
200 0.26 10000000 835.333 248.699 -62.5561 7.98924 4296.24 1207.95 2.72125e+07 1.57883e+07 -0.0517475 0.0386153 0.000350931 0.019246 0.0138472 0.00507891 0.000346517 0.000182504 0.103617 0.0227695 4.86432 0.578015 162.686 117.424 754.293 414.202 921.843 521.398 921.843 521.398 0.510944 0.0687537 
200 0.26 10400000 761.857 223.761 -62.4661 6.84843 4230.32 1037.18 2.54259e+07 1.36336e+07 -0.0458066 0.0335527 0.00763416 0.0178214 0.0122602 0.0045946 0.000298086 0.000162731 0.0962903 0.0206619 4.87996 0.495653 140.856 102.658 655.806 366.552 801.542 460.581 801.542 460.581 0.512542 0.0589503 
200 0.26 10800000 693.75 205.895 -63.1777 6.02923 4282.24 908.832 2.49454e+07 1.19378e+07 -0.0564533 0.0310018 0.00858784 0.0156193 0.0129013 0.00406475 0.000298621 0.000142391 0.100737 0.0185516 4.75271 0.449734 125.368 90.9867 581.194 328.239 711.315 411.752 711.315 411.752 0.497266 0.0535242 
200 0.26 11200000 643 189.169 -64.0906 5.42798 4372.77 812.348 2.50603e+07 1.0612e+07 -0.0564469 0.0275572 0.0115641 0.0141645 0.0119602 0.00372045 0.000267624 0.0001299 0.0969412 0.0168742 4.60599 0.423021 112.885 81.7289 523.149 296.856 640.641 372.017 640.641 372.017 0.493545 0.0477063 
200 0.26 11600000 618.8 171.793 -63.7911 4.89344 4308.77 733.63 2.39476e+07 9.60894e+06 -0.052449 0.0252614 0.000680596 0.0166756 0.0117375 0.00335507 0.000250334 0.000118055 0.0971126 0.0151877 5.79493 1.19045 103.794 74.06 524.327 267.173 633.915 334.876 633.915 334.876 0.525085 0.0523336 
200 0.26 12000000 594.273 157.917 -60.4353 5.47976 3982.73 735.826 2.1818e+07 8.96828e+06 -0.0453551 0.0252614 0.0097185 0.0172241 0.0116408 0.00305146 0.000237934 0.000107972 0.0976764 0.0138174 5.45287 1.1303 95.8997 67.7466 480.703 246.42 582.055 308.423 582.055 308.423 0.508728 0.050067 
200 0.26 12400000 583 145.159 -60.4591 5.02317 3958.09 674.92 2.11327e+07 8.24707e+06 -0.0458378 0.0218992 0.00999191 0.0162898 0.0109028 0.00288503 0.000218753 0.000100664 0.0939345 0.0131629 5.26301 1.05194 88.5216 62.5016 444.741 228.494 538.525 285.776 538.525 285.776 0.511689 0.0459822 
200 0.26 12800000 547.462 138.275 -62.3546 4.98159 4210.71 668.611 2.35416e+07 7.95672e+06 -0.0467995 0.0218992 0.0231052 0.0192665 0.0128312 0.00324415 0.000301458 0.000122263 0.101298 0.01406 5.26522 0.97102 83.4481 58.0056 415.671 212.759 504.384 265.825 504.384 265.825 0.498258 0.0443631 
200 0.26 13200000 560.143 128.978 -61.5753 4.68631 4098.98 630.118 2.23604e+07 7.47555e+06 -0.0373867 0.0207985 0.0169557 0.0188462 0.0127139 0.00301455 0.000288868 0.000114176 0.101618 0.0130593 5.30189 0.902354 78.1934 54.0015 392.604 198.808 476.1 248.338 476.1 248.338 0.50657 0.0419658 
200 0.26 13600000 547.4 121.008 -60.9401 4.41673 4006.31 594.886 2.13589e+07 7.04394e+06 -0.044601 0.0206252 0.0177283 0.0176056 0.0133339 0.00287664 0.000301919 0.000107308 0.104735 0.0125552 5.13303 0.85785 73.8613 50.6302 368.878 186.965 447.872 233.38 447.872 233.38 0.494567 0.0408487 
200 0.26 14000000 522.375 116.003 -61.4422 4.16913 4053.25 559.555 2.14385e+07 6.60415e+06 -0.0392063 0.0200293 0.0131543 0.0170891 0.0128015 0.00274568 0.000284499 0.000102005 0.102526 0.0119632 5.79925 1.03097 70.3813 47.5336 467.142 199.437 543.323 237.513 543.323 237.513 0.522973 0.047149 
