L J MC_steps R2 R2_std E E_std E2 E2_std E4 E4_std Sin1 Sin1_std Cos1 Cos1_std Mag2 Mag2_std Mag4 Mag4_std Mag1 Mag1_std eig1 eig1_std eig2 eig2_std eig3 eig3_std R_g_2_trace R_g_2_trace_std R_g_2_direct R_g_2_direct_std asphericity asphericity_std
200 0.24 8000000 45 0 -33.7267 0 1137.49 0 1.29389e+06 0 0.0377626 0 0.0350868 0 0.0026571 0 7.06018e-06 0 0.0515471 0 8.97775 0 11.5585 0 25.3018 0 45.8381 0 45.8381 0 0.109944 0 
200 0.24 8400000 407 255.973 -57.0463 16.4894 3798.09 1881.32 2.15042e+07 1.42908e+07 0.0125865 0.0178022 0.0675487 0.022954 0.00640886 0.0026529 5.51493e-05 3.40041e-05 0.0761735 0.0174135 7.5795 0.988713 15.2913 2.63946 58.4204 23.4184 81.2912 25.0692 81.2912 25.0692 0.288098 0.125974 
200 0.24 8800000 317.667 185.583 -50.0232 12.3987 2963.5 1427.38 1.48946e+07 1.09496e+07 0.0187956 0.0129056 0.0363195 0.029738 0.00482509 0.00219093 3.7682e-05 2.67826e-05 0.0643533 0.0150968 6.88448 0.869769 12.5639 2.83817 49.6391 17.18 69.0875 19.4577 69.0875 19.4577 0.303318 0.084897 
200 0.24 9200000 253 150.032 -49.1718 9.32822 2765.93 1084.12 1.23516e+07 8.50233e+06 -0.00441536 0.0223102 0.0452826 0.0236157 0.00629179 0.0020769 5.68407e-05 2.60533e-05 0.0741154 0.0141307 6.03835 0.981065 11.7395 2.24519 48.0855 12.955 65.8633 14.858 65.8633 14.858 0.338103 0.0704397 
200 0.24 9600000 273 121.351 -47.4633 7.61742 2542.9 889.944 1.04263e+07 7.01647e+06 -0.0323044 0.0306724 0.0505015 0.0194607 0.0101916 0.00386357 0.000178503 0.000110797 0.0914112 0.0191601 5.28915 1.032 11.0954 1.88626 53.1126 11.2974 69.4972 12.3228 69.4972 12.3228 0.40156 0.0799804 
200 0.24 10000000 282.333 101.484 -51.8686 7.51445 3029.15 864.313 1.3658e+07 6.54913e+06 -0.0309952 0.0255883 0.0378969 0.0198845 0.0086978 0.0034965 0.000149005 9.61773e-05 0.082019 0.0181231 6.66232 1.52017 14.4743 3.46194 183.91 119.771 205.046 124.164 205.046 124.164 0.476892 0.0957673 
200 0.24 10400000 265 88.4543 -51.1385 6.47633 2908.74 749.18 1.23897e+07 5.73504e+06 -0.0242808 0.0227967 0.0322772 0.0178203 0.00749215 0.00319811 0.000127728 8.47585e-05 0.0725977 0.0178154 6.40316 1.32491 14.7374 2.97736 162.646 104.532 183.786 108.231 183.786 108.231 0.440303 0.0888012 
200 0.24 10800000 279.25 78.537 -53.3419 6.02997 3136.24 689.208 1.3636e+07 5.15181e+06 -0.0263003 0.0200364 0.0302032 0.015713 0.00679078 0.00287423 0.000112204 7.55719e-05 0.0689445 0.0159587 6.88079 1.24241 15.3815 2.67396 145.227 92.9053 167.489 95.9216 167.489 95.9216 0.391309 0.0902099 
200 0.24 11200000 353.222 98.6784 -49.2094 6.6264 2816.75 682.677 1.21285e+07 4.79489e+06 -0.0301475 0.0181757 0.0224929 0.0157455 0.00661932 0.00255998 0.000102797 6.7758e-05 0.069333 0.0141902 6.97019 1.10758 23.6828 8.17951 165.58 84.7825 196.233 89.4666 196.233 89.4666 0.39874 0.080492 
200 0.24 11600000 341.6 89.4924 -51.4455 6.32982 3047.3 652.181 1.35395e+07 4.51824e+06 -0.0207938 0.01861 0.0322743 0.0169388 0.00780657 0.00256455 0.000126712 6.50659e-05 0.0759982 0.0142508 6.8832 1.00023 22.9263 7.39646 271.111 133.535 300.92 139.959 300.92 139.959 0.453581 0.106962 
200 0.24 12000000 353.545 82.1501 -50.4571 5.83103 2919.93 605.202 1.2555e+07 4.21338e+06 -0.0222333 0.0169738 0.0267749 0.0162672 0.00729124 0.00238263 0.000115608 6.00908e-05 0.0732927 0.0132096 7.44951 1.05753 24.1768 6.98127 367.411 146.718 399.037 149.203 399.037 149.203 0.493702 0.106962 
200 0.24 12400000 375.833 78.2693 -50.2688 5.34815 2870.19 556.809 1.19584e+07 3.90427e+06 -0.0275708 0.016377 0.0269735 0.0149128 0.00737489 0.00218554 0.000111708 5.52097e-05 0.0747747 0.0121916 7.36592 0.972705 24.1244 6.26006 754.557 455.137 786.047 457.959 786.047 457.959 0.534414 0.115716 
200 0.24 12800000 358.385 74.168 -48.3349 5.27483 2697.97 539.953 1.10692e+07 3.70382e+06 -0.0307132 0.0154158 0.022772 0.0143453 0.0072265 0.00202245 0.000105397 5.13223e-05 0.0746994 0.0112541 7.21948 0.908838 23.0551 5.91964 699.263 455.137 729.537 457.959 729.537 457.959 0.516431 0.115716 
200 0.24 13200000 387.857 74.4963 -46.699 5.14548 2551.46 520.883 1.03084e+07 3.51652e+06 -0.0272631 0.0146956 0.0227758 0.0133206 0.00676963 0.00192891 9.79175e-05 4.81983e-05 0.071422 0.010917 8.54316 1.52943 58.9311 34.9979 926.008 421.175 993.482 436.998 993.482 436.998 0.52746 0.0993936 
200 0.24 13600000 384.733 69.5954 -44.6615 5.19021 2398.72 508.058 9.62571e+06 3.3477e+06 -0.0287836 0.0137944 0.027907 0.0133845 0.00714872 0.00183719 0.000101733 4.51358e-05 0.0741009 0.0105128 8.74596 1.44086 56.7855 32.7304 886.186 421.175 951.718 436.998 951.718 436.998 0.539795 0.0993936 
200 0.24 14000000 448.375 89.7447 -45.3935 4.91717 2447.43 478.633 9.65534e+06 3.1386e+06 -0.0231556 0.0140334 0.0239982 0.0131063 0.00701147 0.00172748 9.69078e-05 4.2572e-05 0.0738681 0.0098583 8.38754 1.39467 54.92 30.7379 1079.33 402.675 1142.64 418.127 1142.64 418.127 0.567166 0.0945684 
200 0.24 14400000 440.176 84.8393 -46.7771 4.81866 2582.83 469.241 1.04142e+07 3.04434e+06 -0.0247329 0.0132963 0.0215155 0.0125683 0.00676542 0.00164329 9.1678e-05 4.03877e-05 0.0726514 0.00935318 8.15379 1.33208 52.9592 28.9922 1145.02 395.453 1206.13 407.034 1206.13 407.034 0.590582 0.0945684 
200 0.24 14800000 437.667 80.1631 -46.3029 4.57423 2520.59 447.281 9.95444e+06 2.90971e+06 -0.0233739 0.0126269 0.0173273 0.0125484 0.00655079 0.00156595 8.70527e-05 3.84079e-05 0.0716081 0.00889156 8.72551 1.3753 51.236 27.4327 1083.29 367.881 1143.25 381.123 1143.25 381.123 0.55977 0.0843496 
200 0.24 15200000 445.211 76.2981 -48.1457 4.69 2735.93 472.746 1.17316e+07 3.25436e+06 -0.0155492 0.0141809 0.0196216 0.0120959 0.00722758 0.00162321 0.000102299 3.92962e-05 0.0751718 0.0091098 8.5114 1.31948 50.4124 26.0013 1289.75 402.304 1348.68 412.729 1348.68 412.729 0.581689 0.0843496 
200 0.24 15600000 426 74.8626 -47.8171 4.46699 2685.56 451.785 1.12944e+07 3.12087e+06 -0.0151918 0.0134764 0.0172614 0.0117191 0.00690777 0.00157324 9.72189e-05 3.76584e-05 0.0728549 0.00894408 8.34068 1.2645 48.92 24.744 1226.82 397.361 1284.08 411.94 1284.08 411.94 0.560583 0.0759185 
200 0.24 16000000 426 73.5997 -47.8171 4.44586 2685.56 450.371 1.12944e+07 3.10721e+06 -0.0151918 0.0128858 0.0172614 0.0114457 0.00690777 0.00149834 9.72189e-05 3.59454e-05 0.0728549 0.00852916 8.34068 1.20481 48.92 23.6336 1226.82 397.361 1284.08 411.94 1284.08 411.94 0.560583 0.0759185 
200 0.24 16400000 400.818 72.2519 -48.9605 4.44586 2791.06 430.953 1.18759e+07 2.98524e+06 -0.0099006 0.0138276 0.0145932 0.0120768 0.0077261 0.00164211 0.000119016 4.17001e-05 0.0771632 0.00897456 8.36432 1.15011 45.93 22.5876 1117.77 397.361 1172.06 411.94 1172.06 411.94 0.518746 0.0797151 
200 0.24 16800000 400.818 72.2519 -48.9605 4.44586 2791.06 420.913 1.18759e+07 2.89527e+06 -0.0099006 0.0132747 0.0145932 0.0116319 0.0077261 0.00159979 0.000119016 4.0205e-05 0.0771632 0.00887504 8.36432 1.25381 45.93 22.4371 1117.77 397.361 1172.06 411.94 1172.06 411.94 0.518746 0.0797151 
200 0.24 17200000 435 73.2011 -48.6926 4.02007 2758.83 406.928 1.15853e+07 2.78144e+06 -0.00461583 0.0133478 0.0179865 0.0120924 0.00813016 0.00168517 0.000134255 4.33971e-05 0.0782711 0.00913736 8.79084 1.21565 44.4257 20.7403 1245.05 371.478 1298.27 379.39 1298.27 379.39 0.541739 0.076316 
