L J MC_steps R2 R2_std E E_std E2 E2_std E4 E4_std Sin1 Sin1_std Cos1 Cos1_std Mag2 Mag2_std Mag4 Mag4_std Mag1 Mag1_std eig1 eig1_std eig2 eig2_std eig3 eig3_std R_g_2_trace R_g_2_trace_std R_g_2_direct R_g_2_direct_std asphericity asphericity_std
300 0.27 36000000 1273 0 -43.0757 0 1855.52 0 3.44294e+06 0 -0.00823468 0 -0.0129872 0 0.000236478 0 5.59217e-08 0 0.0153778 0 13.7236 0 85.4472 0 3538.53 0 3637.7 0 3637.7 0 0.920178 0 
300 0.27 37800000 773 353.553 -54.4371 8.03375 3092.48 874.669 1.10935e+07 5.4098e+06 0.0331318 0.0292505 0.0279926 0.0289771 0.00527184 0.00356054 5.31472e-05 3.75412e-05 0.0584511 0.0304574 10.5543 2.24103 55.4853 21.1863 1794.72 1233.06 1860.76 1256.49 1860.76 1256.49 0.562158 0.253158 
300 0.27 39600000 674.333 249.09 -73.0976 16.1502 6125.74 2544.37 5.69461e+07 3.76118e+07 0.00426159 0.0305929 0.0383681 0.021094 0.00563291 0.00239193 4.88937e-05 2.52673e-05 0.0655403 0.0211139 9.30622 1.80849 40.4326 18.7229 1223.11 945.293 1272.84 965.454 1272.84 965.454 0.555181 0.168868 
300 0.27 41400000 695 187.673 -69.694 12.4661 5478.87 1988.81 4.58394e+07 2.98037e+07 0.00997785 0.0234726 0.0118171 0.0279107 0.00555908 0.00179509 4.37927e-05 1.94586e-05 0.0674199 0.0159188 8.72786 1.44589 42.8185 14.1934 951.929 746.854 1003.48 760.741 1003.48 760.741 0.504592 0.134014 
300 0.27 43200000 592.2 176.056 -66.1392 10.4675 4922.24 1667.12 3.81249e+07 2.48213e+07 0.00103759 0.0204098 0.00654547 0.0228209 0.00473069 0.00161594 3.54358e-05 1.72684e-05 0.0614649 0.013804 9.50009 1.34724 38.977 11.8632 1832.01 988.237 1880.48 992.823 1880.48 992.823 0.599664 0.13684 
300 0.27 45000000 616.333 148.358 -69.3826 9.21168 5323.08 1436.65 4.0719e+07 2.08195e+07 -0.020627 0.0260846 0.00867092 0.0191162 0.00677566 0.0023018 7.76993e-05 4.11774e-05 0.0729518 0.0155654 9.42953 1.12455 37.7695 9.94725 1547.61 863.485 1594.8 867.48 1594.8 867.48 0.568642 0.117497 
300 0.27 46800000 669.571 136.382 -67.9895 8.00038 5070.61 1253.4 3.67082e+07 1.82275e+07 -0.0364406 0.0267252 0.0124943 0.0167633 0.00845073 0.00250951 0.000115498 4.9703e-05 0.0819614 0.0157347 9.16815 0.993811 34.6701 8.99613 2880 1438.56 2923.84 1437.66 2923.84 1437.66 0.629335 0.115327 
300 0.27 48600000 787 162.193 -75.7667 10.096 6556.04 1770.16 6.80494e+07 3.33746e+07 -0.0214333 0.0272746 0.0257653 0.0192159 0.0100285 0.00264571 0.000156568 5.80284e-05 0.0898617 0.0156259 9.01928 0.880664 32.2076 8.2017 2539.64 1298.38 2580.87 1298.22 2580.87 1298.22 0.632593 0.100957 
300 0.27 50400000 866.778 162.612 -77.2886 9.08822 6716.89 1580.77 6.76062e+07 2.96692e+07 -0.0183529 0.0244174 0.02846 0.0172687 0.00919657 0.00247908 0.00013989 5.39246e-05 0.0854784 0.0144914 8.91873 0.788532 32.6094 7.30023 2274.66 1180.85 2316.18 1180.65 2316.18 1180.65 0.61355 0.0915179 
300 0.27 52200000 827 151.138 -80.5342 8.73973 7249.59 1509.78 7.53509e+07 2.76947e+07 -0.0269818 0.0234508 0.0155683 0.0197769 0.0103811 0.00249818 0.000170176 5.84534e-05 0.0914363 0.0142144 8.97444 0.711644 31.1967 6.7055 2050.36 1083.85 2090.53 1083.93 2090.53 1083.93 0.562744 0.0954321 
